DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Year
2021-01-04,EGAD,Eaagads Ltd,8.2,14,12.5,12.5,12.5,12.5,-,-,"3,200",-,2021
2021-01-04,KUKZ,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,2021
2021-01-04,KAPC,Kapchorua Tea Kenya Plc,59,90,78,78,78,78,-,-,-,-,2021
2021-01-04,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,100,-,2021
2021-01-04,SASN,Sasini Plc,14.8,20,19.5,19.5,19.5,19.5,-,-,-,-,2021
2021-01-04,WTK,Williamson Tea Kenya Plc,92,150,127.5,130,129.75,130.25,-0.5,0.38%,"3,200",-,2021
2021-01-04,CGEN,Car and General (K) Ltd,20,26,22,22,22,22,-,-,-,-,2021
2021-01-04,ABSA,ABSA Bank Kenya Plc,8.5,14.2,9.42,9.8,9.52,9.66,-0.14,1.45%,"18,500",-,2021
2021-01-04,BKG,BK Group Plc,12.15,28,20.5,20.5,20.5,20.5,-,-,-,-,2021
2021-01-04,COOP,Co-operative Bank of Kenya Ltd,10.2,17,12.2,13.7,12.55,12.5,0.05,0.40%,"248,100",-,2021
2021-01-04,DTK,Diamond Trust Bank Kenya Ltd,58.5,125,75,78.5,76.75,75,1.75,2.33%,200,-,2021
2021-01-04,EQTY,Equity Group Holdings Plc,28,55.25,35.55,36.5,36.25,36.55,-0.3,0.82%,"1,955,500",-,2021
2021-01-04,HFCK,HF Group Ltd,2.86,6.98,3,3.45,3.14,3.32,-0.18,5.42%,"15,400",-,2021
2021-01-04,IMH,I & M Holdings Plc,42.5,59,43.9,45,44.85,45,-0.15,0.33%,"38,600",-,2021
2021-01-04,KCB,KCB Group Plc,30,55.5,38.2,38.5,38.4,38.1,0.3,0.79%,"58,500",-,2021
2021-01-04,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-,2021
2021-01-04,NCBA,NCBA Group Plc,20,34.41,26.5,27,26.6,26.75,-0.15,0.56%,"7,700",-,2021
2021-01-04,SBIC,Stanbic Holdings Plc,72.25,118.5,85,85,85,85,-,-,-,-,2021
2021-01-04,SCBK,Standard Chartered Bank Kenya Ltd,143,215,144,148.75,144.5,144.25,0.25,0.17%,"14,800",-,2021
2021-01-04,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-,2021
2021-01-04,EVRD,Eveready East Africa Ltd,0.75,1.5,1.25,1.28,1.27,1.2,0.07,5.83%,700,-,2021
2021-01-04,XPRS,Express Kenya Plc,2.5,6.84,3.38,3.7,3.61,3.61,-,-,"1,100",-,2021
2021-01-04,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-,2021
2021-01-04,LKL,Longhorn Publishers Plc,4.21,6.8,4.75,4.88,4.87,4.88,-0.01,0.20%,"1,800",-,2021
2021-01-04,NBV,Nairobi Business Ventures Ltd,0.49,6,3.9,4.7,4.65,4.28,0.37,8.64%,"22,000",-,2021
2021-01-04,NMG,Nation Media Group Plc,9,39.75,15,15.5,15.3,15.45,-0.15,0.97%,"53,700",-,2021
2021-01-04,SMER,Sameer Africa Plc,1.91,4.62,3.25,3.25,3.25,3.25,-,-,-,-,2021
2021-01-04,SGL,Standard Group Plc,18,27,22.5,22.5,22.5,22.5,-,-,-,-,2021
2021-01-04,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,19,16,16,16,16,-,-,-,-,2021
2021-01-04,UCHM,Uchumi Supermarket Plc,0.23,0.4,0.28,0.3,0.28,0.28,-,-,"247,700",-,2021
2021-01-04,SCAN,WPP ScanGroup Plc,5.8,25,5.8,6.1,6,6,-,-,"139,400",-,2021
2021-01-04,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-,2021
2021-01-04,BAMB,Bamburi Cement Ltd,19.05,80,39.95,39.95,39.95,37.85,2.1,5.55%,"18,100",-,2021
2021-01-04,CRWN,Crown Paints Kenya Plc,36,68,38,38,38,38,-,-,-,-,2021
2021-01-04,CABL,East African Cables Ltd,1.26,2.8,1.4,1.45,1.4,1.38,0.02,1.45%,"18,800",-,2021
2021-01-04,PORT,East African Portland Cement Ltd,10,16,11,11,11,11,-,-,-,-,2021
2021-01-04,KEGN,Kenya Electricity Generating Company Plc,4,6.28,4.6,4.78,4.67,4.71,-0.04,0.85%,"33,100",-,2021
2021-01-04,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-,2021
2021-01-04,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-,2021
2021-01-04,KPLC,Kenya Power and Lighting Company Plc,1.16,3.23,1.68,1.73,1.71,1.71,-,-,"1,064,600",-,2021
