Price,Close,High,Low,Open,Volume
Ticker,SOXS,SOXS,SOXS,SOXS,SOXS
Date,,,,,
2021-03-29,18285.16015625,18823.469714506173,17712.120949074073,17937.86366705247,4819
2021-03-30,18406.708984375,19014.477677255305,18250.42560620578,18580.357182340802,2402
2021-03-31,16965.427734375,17955.22239236822,16566.036907465455,17885.763118123083,5749
2021-04-01,15124.7578125,16131.917345364523,15090.028173435707,16131.917345364523,5326
2021-04-05,14221.7880859375,14933.745731265262,14082.869520995497,14395.436292115002,5092
2021-04-06,14655.91015625,15107.395540210307,14204.424772289693,14464.89710918987,5374
2021-04-07,14708.001953125,15037.933519960154,14464.894482825413,14551.71857936098,3855
2021-04-08,14204.421875,14603.812710116137,14152.327418245723,14239.151512836186,3170
2021-04-09,14273.8837890625,14742.733986513458,14273.8837890625,14482.26165459626,2466
2021-04-12,14760.09765625,15159.488534007354,14499.625344669119,14499.625344669119,3141
2021-04-13,14846.9228515625,15263.678580729165,14378.072656249999,14464.896766493055,2510
2021-04-14,15385.232421875,15593.61028763403,14603.81542527864,14968.476690356942,2599
2021-04-15,14569.083984375,15246.311964578366,14482.259884348927,14933.745204484505,2696
2021-04-16,14794.8271484375,14881.651251421288,14499.62519829262,14586.449301276409,2070
2021-04-19,15906.1787109375,16357.664132863672,14951.113395324439,15194.220930207764,5009
2021-04-20,16652.861328125,16913.333611672315,15906.174115289363,16253.47049335245,4386
2021-04-21,15281.0439453125,16791.78351717862,15281.0439453125,16583.40564519709,3034
2021-04-22,16357.6611328125,16583.403802373607,15333.136709419785,15402.595992361665,5621
2021-04-23,15367.8662109375,16166.647957494704,15194.218005164195,16149.283136917373,3230
2021-04-26,14621.181640625,15419.963535480998,14499.627874016478,15385.233887878563,2477
2021-04-27,14881.6513671875,15020.569933042227,14343.341924500439,14378.07156596412,3461
2021-04-28,15541.5126953125,15610.971969928421,15090.027410309009,15124.75704761697,2489
2021-04-29,15228.947265625,15940.904891498003,14846.921222473631,14916.380503046606,3336
2021-04-30,16531.310546875,16635.499478893118,15663.069446724001,15906.17695476628,3635
2021-05-03,17104.3515625,17312.729449555838,16097.191775063451,16149.28624682741,2874
2021-05-04,17903.1328125,18823.46844689622,17642.66046314258,17694.754933014065,5558
2021-05-05,17607.927734375,17955.22413939226,16878.60528383876,17243.26650910688,4044
2021-05-06,17173.806640625,18267.790279006575,17104.3473619976,17677.386410673662,3929
2021-05-07,16409.75390625,16861.23919890873,16062.457527281747,16566.037276785715,3045
2021-05-10,18684.55078125,18684.55078125,16774.420125174256,16774.420125174256,4130
2021-05-11,18493.537109375,20455.76217356221,18337.2536971831,20247.38429063967,8058
2021-05-12,20855.1484375,20976.70217527061,19344.40912520816,19604.88142043089,9027
2021-05-13,19830.626953125,20594.679129952932,18962.385843093256,19709.073197720554,6860
2021-05-14,18094.142578125,19656.97639005518,17538.468333883156,19031.84286528311,5349
2021-05-17,18510.896484375,19465.96149998534,18510.896484375,18632.450213634496,5134
2021-05-18,19031.841796875,19049.206616032734,17937.858189937844,18146.236019830634,2999
2021-05-19,17868.404296875,20299.479711415817,17816.30982370627,20125.831467520045,7000
2021-05-20,16444.48828125,17538.472190139913,16253.47521779303,17486.377718288015,4940
2021-05-21,16652.861328125,16826.50951715654,16114.551942127215,16131.916761030368,5300
2021-05-24,15524.150390625,16305.567356596057,15211.583604236577,16253.472892197986,4286
2021-05-25,15385.232421875,15610.975109780615,14985.841512503526,15159.489733969385,5940
2021-05-26,15228.947265625,15645.702949062856,15020.56942390607,15263.676905911487,3434
2021-05-27,14951.1103515625,15402.595681574841,14794.82696809669,15298.4067592643,3533
2021-05-28,14603.8173828125,14933.749047822534,14395.439489121954,14846.924925451473,3062
2021-06-01,14777.4599609375,14968.472956907315,13926.583887981053,14325.97469773612,4820
2021-06-02,14430.1669921875,14899.017183269403,14273.883595160198,14708.004142458258,3641
2021-06-03,15176.8544921875,15402.597179142234,14742.733940351472,14933.746983159324,5881
2021-06-04,14117.6005859375,14777.463835956718,13996.046829355011,14742.734191218864,5741
2021-06-07,14395.435546875,14655.907842656816,14204.422529968335,14273.881808843485,4065
2021-06-08,14655.91015625,14985.841782990225,13996.046902769549,14048.141370149586,3734
2021-06-09,14846.9228515625,14881.652495659722,14395.43747829861,14447.531944444443,2300
2021-06-10,14325.9775390625,14916.381461884468,14169.694147727272,14794.827713068182,4592
2021-06-11,14169.6943359375,14482.261122759652,14134.964692957263,14256.518443388099,2255
