Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2021-02-17,301.2791748046875,302.88301755016033,297.02075107927845,298.1452722121997,2620000
2021-02-18,302.7078552246094,303.7862724878887,299.7490853399509,300.39428479656937,2383500
2021-02-19,299.1775817871094,303.11341939383954,298.74436398421307,303.02124000678083,2313800
2021-02-22,301.9981689453125,303.297794414953,295.2786928931447,296.3386856764108,2688300
2021-02-23,303.7217712402344,307.8050621333595,301.0763887795831,304.1641872937957,3225700
2021-02-24,306.2104797363281,307.4917086676865,300.5233737627579,302.7816142966646,3360500
2021-02-25,303.1318664550781,307.49169580992015,301.74003355631766,305.09517221501926,2780100
2021-02-26,306.2196350097656,311.46432366309745,304.0351216237761,304.6803209997025,5430000
2021-03-01,308.4594421386719,312.38605280586484,307.5653556576649,308.1921303932256,4198900
2021-03-02,308.45025634765625,311.2431199004178,307.75895320955493,308.7820683519305,2568900
2021-03-03,306.8187561035156,311.6947553384677,306.73580310429514,307.23354922881407,3039700
2021-03-04,307.6852111816406,314.1650250722805,306.6344449954493,308.01705132883643,4991600
2021-03-05,319.9351501464844,321.03202022159593,308.80054336615876,308.80976974418195,4563100
2021-03-08,322.7649230957031,326.2951663319933,318.55257479063425,319.8522284049187,3419900
2021-03-09,324.4331970214844,332.97769409003075,323.8432714801126,325.29963257962544,4277600
2021-03-10,322.23956298828125,326.7376482667825,321.2256457116998,326.2122509331166,3012300
2021-03-11,325.465576171875,328.1109587781615,322.48835337794907,323.30871340442326,2520500
2021-03-12,329.3228759765625,330.0629027699825,325.59507745643754,326.68661344809004,2088700
2021-03-15,327.3433532714844,331.09890090561595,325.18805883030257,330.155398533545,2343400
2021-03-16,328.0093994140625,328.7123896352365,325.52111382455115,327.0196293809419,2904200
2021-03-17,325.7707824707031,331.21911775575677,325.44702256218164,328.5365880821086,2633100
2021-03-18,334.9006652832031,337.0004611038184,325.9188044688357,326.4090598196722,3311600
2021-03-19,338.1659240722656,342.6799878101263,332.08861579622356,334.7804044980002,8572900
2021-03-22,339.3499755859375,340.9409977621338,333.1061429885776,337.62946637576005,3505200
2021-03-23,340.8669738769531,343.6790186890768,339.68295946592156,341.1907337720517,3100100
2021-03-24,342.8095397949219,345.7695620082167,338.10123090821685,338.60071718993424,3407800
2021-03-25,343.26275634765625,344.20625858089494,336.1401797095582,342.80950942616863,3021500
2021-03-26,348.2486572265625,348.7851519649466,342.5228285622429,343.8085810404949,2959800
2021-03-29,350.6351623535156,351.96718233210464,346.8703554941824,348.13761783637744,2740400
2021-03-30,345.5476379394531,351.3937232187028,343.9196070441839,349.2384284681513,3066000
2021-03-31,344.1692810058594,348.72958417780853,343.91950965611744,344.8445218157403,3356500
2021-04-01,339.54425048828125,344.7428147723083,338.3324867094408,344.28956780699446,2977700
2021-04-05,342.4210205078125,344.6873117628426,340.0715097687158,341.90301591737125,2709400
2021-04-06,337.0466613769531,342.06023948414224,335.52039702600524,341.12596821037135,2698600
2021-04-07,338.22149658203125,338.44349049129585,333.5131593330169,336.8802175122449,2158900
2021-04-08,337.5276794433594,339.396193726883,335.8811308018618,335.8811308018618,2426700
2021-04-09,348.0820617675781,348.3688132765832,339.47946003916434,340.7282320911291,2483200
2021-04-12,348.0635986328125,351.34738073744677,345.98232112812326,346.39858792071425,3057300
2021-04-13,346.41705322265625,350.86635944496925,346.25978873495524,348.0358244993976,2652300
2021-04-14,347.4624328613281,349.6639670200859,346.49115284644915,347.194171345317,2805600
2021-04-15,360.7640075683594,362.9377635972882,351.5046266590964,351.5046266590964,4488300
2021-04-16,361.6890869140625,364.38087623192627,356.5552514495912,364.38087623192627,4532400
2021-04-19,360.6067810058594,363.89059151146125,359.33951870890786,360.75478635698914,2965400
2021-04-20,366.7951354980469,368.04390778056415,360.21831142813073,360.6252908796544,3348100
2021-04-21,368.9041442871094,371.3739394898957,365.7868574272805,368.9503836093501,2473300
2021-04-22,366.8043518066406,368.8578800540374,363.7055552391585,368.5618693701113,2718600
2021-04-23,370.2916259765625,371.8456396742911,364.91730743340236,365.9533165652214,2263200
2021-04-26,366.1753845214844,370.00494929669105,365.57413212470476,369.82919468744416,1642300
2021-04-27,364.91729736328125,366.6100571963922,362.8822593182722,365.0653026964756,1758500
2021-04-28,365.0005798339844,367.2206035850799,363.8073061289813,365.54633367323174,1886500
2021-04-29,371.4386291503906,372.0029012586752,366.58231521110355,366.99858198326643,1996500
2021-04-30,368.8948974609375,371.7254328675589,368.4786588594552,370.92993583196903,2328100
2021-05-03,375.4624328613281,376.26718892978965,370.49512204223294,370.9298788897977,2568500
2021-05-04,380.4944763183594,381.53974451486545,373.242384794361,375.0739189268421,3237200
2021-05-05,381.5675964355469,381.7988495242957,376.29501472041915,379.71757172555635,2767600
2021-05-06,383.8523254394531,385.5913529450132,381.6230425821454,382.03005022085665,3058700
2021-05-07,386.33135986328125,387.5986221268126,383.01982843512934,383.880083051071,1851000
2021-05-10,389.32843017578125,394.03673927046646,386.8586349794367,387.82988657703453,2489300
2021-05-11,380.8275451660156,390.6234212629246,379.81925699689975,389.4301475858795,3024000
2021-05-12,374.97216796875,380.04124467592464,374.3339073316177,378.5982279908768,2888100
2021-05-13,377.9230041503906,382.1965562462422,374.0009612276409,375.81397734091325,2637500
2021-05-14,379.0700378417969,381.6508301214608,377.8675331161903,380.17080476208184,2072900
2021-05-17,377.98773193359375,381.5767837115369,377.9322334610797,378.61673344150734,1583900
2021-05-18,379.60650634765625,381.9930253726299,375.8046915746304,378.96824567940473,2694800
2021-05-19,378.79254150390625,379.9210576529368,373.9362268692408,378.78328234746925,2783100
2021-05-20,377.9970397949219,382.7978276607738,377.70102908395063,378.8202860627126,2105800
2021-05-21,380.7628173828125,387.23790347970305,378.75552827195696,379.9580611988606,4295400
2021-05-24,380.1337890625,382.86255821681715,379.1810275901226,381.447290627186,1883600
2021-05-25,382.07623291015625,382.8254904455639,378.22820745308593,380.9662353383921,2285600
